Disease,Treatment,Diagnosis,Symptoms,Disease_NER,Treatment_NER,Diagnosis_NER,Symptoms_NER
Vulvodynia,"Topical lidocaine, amitriptyline (1050 mg daily), gabapentin (3001200 mg daily), pelvic floor therapy.","Clinical history, cotton swab test, rule out infections or dermatoses.","Chronic vulvar burning, stinging, rawness; pain during intercourse; sensitivity to touch.","[{'text': 'Vulvodynia', 'label': 'ENTITY', 'umls_cui': 'C0406670', 'umls_score': 0.9659472107887268}]","[{'text': 'Topical', 'label': 'ENTITY', 'umls_cui': 'C0332237', 'umls_score': 0.9861158728599548}, {'text': 'amitriptyline', 'label': 'ENTITY', 'umls_cui': 'C0002600', 'umls_score': 0.9732427597045898}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'gabapentin', 'label': 'ENTITY', 'umls_cui': 'C0060926', 'umls_score': 0.9444852471351624}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'pelvic floor therapy', 'label': 'ENTITY', 'umls_cui': 'C0206248', 'umls_score': 0.7597947120666504}]","[{'text': 'Clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}, {'text': 'cotton swab test', 'label': 'ENTITY'}, {'text': 'dermatoses', 'label': 'ENTITY', 'umls_cui': 'C0037274', 'umls_score': 0.9899054169654846}]","[{'text': 'Chronic vulvar burning', 'label': 'ENTITY'}, {'text': 'stinging', 'label': 'ENTITY', 'umls_cui': 'C0677500', 'umls_score': 0.9811229109764099}, {'text': 'rawness', 'label': 'ENTITY'}, {'text': 'pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}, {'text': 'intercourse', 'label': 'ENTITY', 'umls_cui': 'C0009253', 'umls_score': 0.9695603847503662}, {'text': 'sensitivity', 'label': 'ENTITY', 'umls_cui': 'C0020517', 'umls_score': 0.9969706535339355}, {'text': 'touch', 'label': 'ENTITY', 'umls_cui': 'C0152054', 'umls_score': 0.9727063179016113}]"
Cold Sores,"Acyclovir cream (5%, 5x daily), valacyclovir (2 g twice daily for 1 day), ibuprofen (200400 mg).","Visual exam, PCR for HSV1 if needed.","Lip tingling, painful blisters, crusting; mild fever possible.","[{'text': 'Cold Sores', 'label': 'ENTITY', 'umls_cui': 'C0019345', 'umls_score': 0.9852576851844788}]","[{'text': 'Acyclovir cream', 'label': 'ENTITY', 'umls_cui': 'C1251800', 'umls_score': 0.987432062625885}, {'text': 'valacyclovir', 'label': 'ENTITY', 'umls_cui': 'C0249458', 'umls_score': 0.9900535345077515}, {'text': 'day', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9967988729476929}, {'text': 'ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}]","[{'text': 'Visual exam', 'label': 'ENTITY', 'umls_cui': 'C0199219', 'umls_score': 0.7835933566093445}, {'text': 'PCR', 'label': 'ENTITY', 'umls_cui': 'C0032520', 'umls_score': 0.9947255253791809}, {'text': 'HSV1', 'label': 'ENTITY', 'umls_cui': 'C0206679', 'umls_score': 0.9920864701271057}]","[{'text': 'Lip tingling', 'label': 'ENTITY', 'umls_cui': 'C0877487', 'umls_score': 0.9641878604888916}, {'text': 'painful', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9710636734962463}, {'text': 'crusting', 'label': 'ENTITY', 'umls_cui': 'C0205204', 'umls_score': 0.9712477326393127}, {'text': 'mild fever', 'label': 'ENTITY', 'umls_cui': 'C0239574', 'umls_score': 0.9747410416603088}]"
Renal Cell Carcinoma,"Nephrectomy, sunitinib (50 mg daily), nivolumab (240 mg every 2 weeks).","CT scan, MRI, biopsy if unclear, kidney function tests.","Hematuria, flank pain, weight loss, fatigue, abdominal mass.","[{'text': 'Renal Cell Carcinoma', 'label': 'ENTITY', 'umls_cui': 'C0007134', 'umls_score': 0.9872101545333862}]","[{'text': 'Nephrectomy', 'label': 'ENTITY', 'umls_cui': 'C0027695', 'umls_score': 0.9874549508094788}, {'text': 'sunitinib', 'label': 'ENTITY', 'umls_cui': 'C1176020', 'umls_score': 0.9717257618904114}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'nivolumab', 'label': 'ENTITY', 'umls_cui': 'C3657270', 'umls_score': 0.9816807508468628}, {'text': 'weeks', 'label': 'ENTITY', 'umls_cui': 'C0439230', 'umls_score': 0.9958744645118713}]","[{'text': 'CT scan', 'label': 'ENTITY', 'umls_cui': 'C0040405', 'umls_score': 0.9926449656486511}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'unclear', 'label': 'ENTITY', 'umls_cui': 'C0337577', 'umls_score': 0.7016674280166626}, {'text': 'kidney function tests', 'label': 'ENTITY', 'umls_cui': 'C0022662', 'umls_score': 0.9671810865402222}]","[{'text': 'Hematuria', 'label': 'ENTITY', 'umls_cui': 'C0018965', 'umls_score': 0.9939060807228088}, {'text': 'flank pain', 'label': 'ENTITY', 'umls_cui': 'C0016199', 'umls_score': 0.9763967990875244}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'fatigue', 'label': 'ENTITY', 'umls_cui': 'C0015672', 'umls_score': 0.9711542725563049}, {'text': 'abdominal mass', 'label': 'ENTITY', 'umls_cui': 'C0000734', 'umls_score': 0.9763934016227722}]"
Scabies,"Permethrin 5% cream, ivermectin (200 mcg/kg), cetirizine (10 mg daily).","Skin scraping for mites, clinical history.","Nighttime itching, red rash, skin burrows.",[],"[{'text': 'Permethrin', 'label': 'ENTITY', 'umls_cui': 'C0070455', 'umls_score': 0.98044353723526}, {'text': 'cream', 'label': 'ENTITY', 'umls_cui': 'C0700385', 'umls_score': 0.9921316504478455}, {'text': 'ivermectin', 'label': 'ENTITY', 'umls_cui': 'C0022322', 'umls_score': 0.9720093607902527}, {'text': 'cetirizine', 'label': 'ENTITY', 'umls_cui': 'C0055147', 'umls_score': 0.9726575613021851}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}]","[{'text': 'Skin scraping', 'label': 'ENTITY', 'umls_cui': 'C0444084', 'umls_score': 0.9802132844924927}, {'text': 'mites', 'label': 'ENTITY', 'umls_cui': 'C0026231', 'umls_score': 0.9897654056549072}, {'text': 'clinical history', 'label': 'ENTITY', 'umls_cui': 'C5204342', 'umls_score': 0.9843454957008362}]","[{'text': 'Nighttime itching', 'label': 'ENTITY'}, {'text': 'red rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.7438384890556335}, {'text': 'skin burrows', 'label': 'ENTITY', 'umls_cui': 'C0423769', 'umls_score': 0.9809650778770447}]"
Parkinson’s Disease,"Levodopacarbidopa (25/100 mg 3x daily), pramipexole (0.51 mg 3x daily), physical therapy.","Neurological exam, DaTscan, levodopa trial.","Resting tremors, bradykinesia, rigidity, postural instability.","[{'text': 'Parkinson’s Disease', 'label': 'ENTITY', 'umls_cui': 'C0030567', 'umls_score': 0.9714373350143433}]","[{'text': 'Levodopacarbidopa', 'label': 'ENTITY', 'umls_cui': 'C0353697', 'umls_score': 0.8927950859069824}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'pramipexole', 'label': 'ENTITY', 'umls_cui': 'C0074710', 'umls_score': 0.961782693862915}, {'text': 'daily', 'label': 'ENTITY', 'umls_cui': 'C0332173', 'umls_score': 0.9872916340827942}, {'text': 'physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}]","[{'text': 'Neurological exam', 'label': 'ENTITY', 'umls_cui': 'C0205494', 'umls_score': 0.8487394452095032}, {'text': 'DaTscan', 'label': 'ENTITY', 'umls_cui': 'C2980484', 'umls_score': 0.9743592739105225}, {'text': 'levodopa trial', 'label': 'ENTITY', 'umls_cui': 'C0023570', 'umls_score': 0.7607783079147339}]","[{'text': 'Resting tremors', 'label': 'ENTITY', 'umls_cui': 'C0234379', 'umls_score': 0.9854564070701599}, {'text': 'bradykinesia', 'label': 'ENTITY', 'umls_cui': 'C0233565', 'umls_score': 0.9463587999343872}, {'text': 'rigidity', 'label': 'ENTITY', 'umls_cui': 'C0026837', 'umls_score': 0.9781013131141663}, {'text': 'postural instability', 'label': 'ENTITY', 'umls_cui': 'C1843921', 'umls_score': 0.9817735552787781}]"
Cleft Lip and Cleft Palate,"Surgical repair (312 months), speech therapy, amoxicillin (2040 mg/kg/day) for infections.","Prenatal ultrasound, physical exam at birth.","Visible facial defect, feeding difficulties, speech issues, ear infections.","[{'text': 'Cleft Lip', 'label': 'ENTITY', 'umls_cui': 'C0008924', 'umls_score': 0.9902662038803101}]","[{'text': 'Surgical repair', 'label': 'ENTITY', 'umls_cui': 'C0374711', 'umls_score': 0.9757048487663269}, {'text': 'months', 'label': 'ENTITY', 'umls_cui': 'C0439231', 'umls_score': 0.9597114324569702}, {'text': 'speech therapy', 'label': 'ENTITY', 'umls_cui': 'C0037831', 'umls_score': 0.9597563743591309}, {'text': 'amoxicillin', 'label': 'ENTITY', 'umls_cui': 'C0002645', 'umls_score': 0.9741423726081848}, {'text': 'infections', 'label': 'ENTITY', 'umls_cui': 'C0851162', 'umls_score': 0.9714444875717163}]","[{'text': 'Prenatal ultrasound', 'label': 'ENTITY', 'umls_cui': 'C4699126', 'umls_score': 0.9779198169708252}, {'text': 'physical exam', 'label': 'ENTITY', 'umls_cui': 'C0031809', 'umls_score': 0.9741718769073486}, {'text': 'birth', 'label': 'ENTITY', 'umls_cui': 'C0005615', 'umls_score': 0.961663544178009}]","[{'text': 'Visible facial defect', 'label': 'ENTITY'}, {'text': 'feeding difficulties', 'label': 'ENTITY', 'umls_cui': 'C0232466', 'umls_score': 0.9770613312721252}, {'text': 'speech issues', 'label': 'ENTITY'}, {'text': 'ear infections', 'label': 'ENTITY', 'umls_cui': 'C0699744', 'umls_score': 0.9743374586105347}]"
Peritoneal Cancer,"Cytoreductive surgery, cisplatin (75 mg/m² IV), paclitaxel (175 mg/m² IV).","CT scan, peritoneal biopsy, CA125 blood test.","Abdominal swelling, pain, bloating, weight loss, nausea.","[{'text': 'Peritoneal Cancer', 'label': 'ENTITY', 'umls_cui': 'C0153467', 'umls_score': 0.9801023006439209}]","[{'text': 'Cytoreductive surgery', 'label': 'ENTITY', 'umls_cui': 'C3850079', 'umls_score': 0.9906466007232666}, {'text': 'cisplatin', 'label': 'ENTITY', 'umls_cui': 'C0008838', 'umls_score': 0.9732010960578918}, {'text': 'mg/m² IV', 'label': 'ENTITY'}, {'text': 'paclitaxel', 'label': 'ENTITY', 'umls_cui': 'C0144576', 'umls_score': 0.9746240973472595}, {'text': 'mg/m² IV', 'label': 'ENTITY'}]","[{'text': 'CT scan', 'label': 'ENTITY', 'umls_cui': 'C0040405', 'umls_score': 0.9926449656486511}, {'text': 'peritoneal biopsy', 'label': 'ENTITY', 'umls_cui': 'C0198609', 'umls_score': 0.9713391065597534}, {'text': 'CA125 blood test', 'label': 'ENTITY', 'umls_cui': 'C0018941', 'umls_score': 0.7986637949943542}]","[{'text': 'Abdominal swelling', 'label': 'ENTITY', 'umls_cui': 'C0000731', 'umls_score': 0.9588626027107239}, {'text': 'pain', 'label': 'ENTITY', 'umls_cui': 'C0030193', 'umls_score': 0.9754149913787842}, {'text': 'bloating', 'label': 'ENTITY', 'umls_cui': 'C0000731', 'umls_score': 0.9594429135322571}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'nausea', 'label': 'ENTITY', 'umls_cui': 'C0027497', 'umls_score': 0.9951015710830688}]"
Sciatica,"Ibuprofen (400800 mg), physical therapy, gabapentin (300600 mg).","Physical exam, MRI or CT for disc herniation.","Lower back pain radiating to leg, numbness, tingling, weakness.","[{'text': 'Sciatica', 'label': 'ENTITY', 'umls_cui': 'C0036396', 'umls_score': 0.9833925366401672}]","[{'text': 'Ibuprofen', 'label': 'ENTITY', 'umls_cui': 'C0020740', 'umls_score': 0.9725996851921082}, {'text': 'physical therapy', 'label': 'ENTITY', 'umls_cui': 'C0699718', 'umls_score': 0.9791001081466675}, {'text': 'gabapentin', 'label': 'ENTITY', 'umls_cui': 'C0060926', 'umls_score': 0.9444852471351624}]","[{'text': 'Physical exam', 'label': 'ENTITY', 'umls_cui': 'C0031809', 'umls_score': 0.9741718769073486}, {'text': 'MRI', 'label': 'ENTITY', 'umls_cui': 'C0024485', 'umls_score': 0.9940130114555359}, {'text': 'CT', 'label': 'ENTITY', 'umls_cui': 'C0009778', 'umls_score': 0.9904136657714844}, {'text': 'disc herniation', 'label': 'ENTITY', 'umls_cui': 'C0021818', 'umls_score': 0.9627832770347595}]","[{'text': 'Lower back pain', 'label': 'ENTITY', 'umls_cui': 'C0024031', 'umls_score': 0.9811952114105225}, {'text': 'leg', 'label': 'ENTITY', 'umls_cui': 'C0023216', 'umls_score': 0.971088171005249}, {'text': 'numbness', 'label': 'ENTITY', 'umls_cui': 'C0020580', 'umls_score': 0.9541221857070923}, {'text': 'tingling', 'label': 'ENTITY', 'umls_cui': 'C0030554', 'umls_score': 0.9621715545654297}, {'text': 'weakness', 'label': 'ENTITY', 'umls_cui': 'C0004093', 'umls_score': 0.9751015901565552}]"
Congenital Syphilis,"Penicillin G (50,000 units/kg IV every 12 hours), supportive care.","Maternal serology, infant RPR test, bone Xrays.","Rash, bone deformities, jaundice, anemia, snuffles in newborns.","[{'text': 'Congenital Syphilis', 'label': 'ENTITY', 'umls_cui': 'C0039131', 'umls_score': 0.9679476022720337}]","[{'text': 'Penicillin G', 'label': 'ENTITY', 'umls_cui': 'C0030827', 'umls_score': 0.9891737103462219}, {'text': 'hours', 'label': 'ENTITY', 'umls_cui': 'C0439227', 'umls_score': 0.9980335831642151}, {'text': 'supportive care', 'label': 'ENTITY', 'umls_cui': 'C0344211', 'umls_score': 0.9841068983078003}]","[{'text': 'Maternal', 'label': 'ENTITY', 'umls_cui': 'C0026591', 'umls_score': 0.9798679351806641}, {'text': 'serology', 'label': 'ENTITY', 'umls_cui': 'C0036743', 'umls_score': 0.9932818412780762}, {'text': 'infant', 'label': 'ENTITY', 'umls_cui': 'C0021270', 'umls_score': 0.9474613070487976}, {'text': 'RPR test', 'label': 'ENTITY', 'umls_cui': 'C0201405', 'umls_score': 0.9623978734016418}, {'text': 'bone Xrays', 'label': 'ENTITY', 'umls_cui': 'C0043309', 'umls_score': 0.7303720712661743}]","[{'text': 'Rash', 'label': 'ENTITY', 'umls_cui': 'C0015230', 'umls_score': 0.9840058088302612}, {'text': 'bone deformities', 'label': 'ENTITY', 'umls_cui': 'C0410719', 'umls_score': 0.9775153994560242}, {'text': 'jaundice', 'label': 'ENTITY', 'umls_cui': 'C0022346', 'umls_score': 0.947461724281311}, {'text': 'anemia', 'label': 'ENTITY', 'umls_cui': 'C0002871', 'umls_score': 0.9743537902832031}, {'text': 'snuffles', 'label': 'ENTITY', 'umls_cui': 'C1260880', 'umls_score': 0.9637463092803955}, {'text': 'newborns', 'label': 'ENTITY', 'umls_cui': 'C0021289', 'umls_score': 0.9731859564781189}]"
Colorectal Cancer,"Surgery, 5fluorouracil (400 mg/m² IV), oxaliplatin (85 mg/m² IV).","Colonoscopy, biopsy, CEA levels, CT staging.","Blood in stool, abdominal pain, weight loss, bowel habit changes.","[{'text': 'Colorectal Cancer', 'label': 'ENTITY', 'umls_cui': 'C0009402', 'umls_score': 0.9869279861450195}]","[{'text': 'mg/m² IV', 'label': 'ENTITY'}, {'text': 'oxaliplatin', 'label': 'ENTITY', 'umls_cui': 'C0069717', 'umls_score': 0.9619361758232117}, {'text': 'mg/m² IV', 'label': 'ENTITY'}]","[{'text': 'Colonoscopy', 'label': 'ENTITY', 'umls_cui': 'C0009378', 'umls_score': 0.9911046028137207}, {'text': 'biopsy', 'label': 'ENTITY', 'umls_cui': 'C0005558', 'umls_score': 0.9729230999946594}, {'text': 'CEA', 'label': 'ENTITY', 'umls_cui': 'C0007082', 'umls_score': 0.9903714656829834}, {'text': 'levels', 'label': 'ENTITY', 'umls_cui': 'C0441889', 'umls_score': 0.9882259964942932}, {'text': 'CT staging', 'label': 'ENTITY', 'umls_cui': 'C0332305', 'umls_score': 0.8639395236968994}]","[{'text': 'Blood', 'label': 'ENTITY', 'umls_cui': 'C0005767', 'umls_score': 0.9994040131568909}, {'text': 'stool', 'label': 'ENTITY', 'umls_cui': 'C0015733', 'umls_score': 0.9800705909729004}, {'text': 'abdominal pain', 'label': 'ENTITY', 'umls_cui': 'C0000737', 'umls_score': 0.970135509967804}, {'text': 'weight loss', 'label': 'ENTITY', 'umls_cui': 'C1262477', 'umls_score': 0.9807811379432678}, {'text': 'bowel habit', 'label': 'ENTITY', 'umls_cui': 'C0011135', 'umls_score': 0.9858441948890686}, {'text': 'changes', 'label': 'ENTITY', 'umls_cui': 'C0392747', 'umls_score': 0.9851773381233215}]"
